CustomerID,Gender,Age,Income,SpendingScore,Frequency,Recency,Monetary
1,Male,19,15,39,7,11,292.5
2,Male,21,15,81,15,92,607.5
3,Female,20,16,6,11,57,48
4,Female,23,16,77,8,89,616
5,Female,31,17,40,7,50,340
6,Female,22,17,76,19,23,646
7,Female,35,18,6,11,31,54
8,Female,23,18,94,11,94,846
9,Male,64,19,3,4,42,28.5
10,Female,30,19,72,8,99,684
11,Male,67,19,14,3,7,133
12,Female,35,19,99,2,16,940.5
13,Female,58,20,15,12,90,150
14,Female,24,20,77,6,60,770
15,Male,37,20,13,2,2,130
16,Male,22,20,79,1,1,790
17,Female,35,21,35,12,48,367.5
18,Male,20,21,66,12,12,693
19,Male,52,23,29,17,69,333.5
20,Female,35,23,98,10,37,1127
21,Male,35,24,35,16,32,420
22,Male,25,24,73,15,9,876
23,Female,46,25,5,15,99,62.5
24,Male,31,25,73,19,19,912.5
25,Female,54,28,14,12,48,196
26,Male,29,28,82,3,80,1148
27,Female,45,28,32,5,3,448
28,Male,35,28,61,19,20,854
29,Female,40,29,31,7,24,449.5
30,Female,23,29,87,9,54,1261.5
31,Male,60,30,4,7,33,60
32,Female,21,30,73,18,24,1095
33,Male,53,33,4,4,75,66
34,Male,18,33,92,14,72,1518
35,Female,49,33,14,18,36,231
36,Female,21,33,81,9,38,1336.5
37,Female,42,34,17,2,84,289
38,Female,30,34,73,15,99,1241
39,Female,36,37,26,7,89,481
40,Female,20,37,75,12,99,1387.5
41,Female,65,38,35,8,25,665
42,Male,24,38,92,15,93,1748
43,Male,48,39,36,3,18,702
44,Female,31,39,61,14,82,1189.5
45,Female,49,39,28,17,66,546
46,Female,24,39,65,4,54,1267.5
47,Female,50,40,55,18,35,1100
48,Female,27,40,47,8,80,940
49,Female,29,40,42,4,61,840
50,Female,31,40,42,2,41,840
51,Female,49,42,52,6,33,1092
52,Male,33,42,60,10,68,1260
53,Female,31,43,54,4,33,1161
54,Male,59,43,60,18,14,1290
55,Female,50,43,45,12,21,967.5
56,Male,47,43,41,2,48,881.5
57,Female,51,44,50,10,20,1100
58,Male,69,44,46,4,8,1012
59,Female,27,46,51,14,7,1173
60,Male,53,46,46,16,67,1058
61,Male,70,46,56,15,17,1288
62,Male,19,46,55,8,33,1265
63,Female,67,47,52,14,48,1222
64,Female,54,47,59,8,76,1386.5
65,Male,63,48,51,16,59,1224
66,Male,18,48,59,13,86,1416
67,Female,43,48,50,18,22,1200
68,Female,68,48,48,15,30,1152
69,Male,19,48,59,13,38,1416
70,Female,32,48,47,9,51,1128
71,Male,70,49,55,15,54,1347.5
72,Female,47,49,42,13,8,1029
73,Female,60,50,49,1,27,1225
74,Female,60,50,56,7,27,1400
75,Male,59,54,47,9,98,1269
76,Male,26,54,54,1,21,1458
77,Female,45,54,53,12,30,1431
78,Male,40,54,48,8,97,1296
79,Female,23,54,52,11,28,1404
80,Female,49,54,42,19,64,1134
81,Male,57,54,51,17,97,1377
82,Male,38,54,55,8,69,1485
83,Male,67,54,41,3,61,1107
84,Female,46,54,44,3,48,1188
85,Female,21,54,57,1,19,1539
86,Male,48,54,46,5,4,1242
87,Female,55,57,58,10,35,1653
88,Female,22,57,55,7,64,1567.5
89,Female,34,58,60,9,49,1740
90,Female,50,58,46,7,17,1334
91,Female,68,59,55,9,44,1622.5
92,Male,18,59,41,8,92,1209.5
93,Male,48,60,49,12,30,1470
94,Female,40,60,40,2,93,1200
95,Female,32,60,42,1,46,1260
96,Male,24,60,52,16,6,1560
97,Female,47,60,47,5,99,1410
98,Female,27,60,50,3,37,1500
99,Male,48,61,42,12,24,1281
100,Male,20,61,49,8,93,1494.5
101,Female,23,62,41,3,46,1271
102,Female,49,62,48,1,53,1488
103,Male,67,62,59,3,95,1829
104,Male,26,62,55,5,99,1705
105,Male,49,62,56,15,60,1736
106,Female,21,62,42,14,97,1302
107,Female,66,63,50,3,63,1575
108,Male,54,63,46,1,85,1449
109,Male,68,63,43,5,32,1354.5
110,Male,66,63,48,14,87,1512
111,Male,65,63,52,7,33,1638
112,Female,19,63,54,9,67,1701
113,Female,38,64,42,15,18,1344
114,Male,19,64,46,15,25,1472
115,Female,18,65,48,10,95,1560
116,Female,19,65,50,13,54,1625
117,Female,63,65,43,19,58,1397.5
118,Female,49,65,59,7,67,1917.5
119,Female,51,67,43,17,46,1440.5
120,Female,50,67,57,4,24,1909.5
121,Male,27,67,56,5,32,1876
122,Female,38,67,40,7,47,1340
123,Female,40,69,58,13,86,2001
124,Male,39,69,91,15,23,3139.5
125,Female,23,70,29,11,66,1015
126,Female,31,70,77,4,27,2695
127,Male,43,71,35,13,2,1242.5
128,Male,40,71,95,7,90,3372.5
129,Male,59,71,11,19,17,390.5
130,Male,38,71,75,2,33,2662.5
131,Male,47,71,9,10,9,319.5
132,Male,39,71,75,13,43,2662.5
133,Female,25,72,34,6,48,1224
134,Female,31,72,71,12,39,2556
135,Male,20,73,5,12,93,182.5
136,Female,29,73,88,11,42,3212
137,Female,44,73,7,7,26,255.5
138,Male,32,73,73,1,99,2664.5
139,Male,19,74,10,1,50,370
140,Female,35,74,72,13,25,2664
141,Female,57,75,5,9,24,187.5
142,Male,32,75,93,3,13,3487.5
143,Female,28,76,40,7,60,1520
144,Female,32,76,87,6,7,3306
145,Male,25,77,12,8,57,462
146,Male,28,77,97,9,36,3734.5
147,Male,48,77,36,5,45,1386
148,Female,32,77,74,1,20,2849
149,Female,34,78,22,19,65,858
150,Male,34,78,90,10,8,3510
151,Male,43,78,17,12,16,663
152,Male,39,78,88,15,14,3432
153,Female,44,78,20,9,76,780
154,Female,38,78,76,17,87,2964
155,Female,47,78,16,17,15,624
156,Female,27,78,89,12,92,3471
157,Male,37,78,1,7,98,39
158,Female,30,78,78,2,66,3042
159,Male,34,78,1,3,32,39
160,Female,30,78,73,17,87,2847
161,Female,56,79,35,5,63,1382.5
162,Female,29,79,83,17,86,3278.5
163,Male,19,81,5,17,51,202.5
164,Female,31,81,93,17,25,3766.5
165,Male,50,85,26,2,58,1105
166,Female,36,85,75,2,63,3187.5
167,Male,42,86,20,5,62,860
168,Female,33,86,95,1,22,4085
169,Female,36,87,27,1,58,1174.5
170,Male,32,87,63,19,58,2740.5
171,Male,40,87,13,2,86,565.5
172,Male,28,87,75,12,49,3262.5
173,Male,36,87,10,6,52,435
174,Male,36,87,92,4,42,4002
175,Female,52,88,13,11,70,572
176,Female,30,88,86,17,15,3784
177,Male,58,88,15,6,54,660
178,Male,27,88,69,5,60,3036
179,Male,59,93,14,2,97,651
180,Male,35,93,90,6,8,4185
181,Female,37,97,32,11,53,1552
182,Female,32,97,86,16,60,4171
183,Male,46,98,15,16,5,735
184,Female,29,98,88,1,68,4312
185,Female,41,99,39,9,6,1930.5
186,Male,30,99,97,6,96,4801.5
187,Female,54,101,24,16,94,1212
188,Male,28,101,68,3,47,3434
189,Female,41,103,17,4,99,875.5
190,Female,36,103,85,19,55,4377.5
191,Female,34,103,23,3,40,1184.5
192,Female,32,103,69,19,52,3553.5
193,Male,33,113,8,7,16,452
194,Female,38,113,91,9,13,5141.5
195,Female,47,120,16,1,30,960
196,Female,35,120,79,8,19,4740
197,Female,45,126,28,7,17,1764
198,Male,32,126,74,18,63,4662
199,Male,32,137,18,8,19,1233
200,Male,30,137,83,1,92,5685.5
